study,x_var,y_var,n_orig,rho_orig,p_orig,n_clean,n_removed,rho_clean,p_clean
Study 1,Worry,Under-generalization (Threat),21,0.37455379880488243,0.0943558004885395,21,0,0.37455379880488243,0.0943558004885395
Study 1,Worry,Under-generalization (Safe - Medium Car),9,0.7394957983193278,0.022774884348748987,9,0,0.7394957983193278,0.022774884348748987
Study 2,Worry,Under-generalization (Threat),30,0.4632697998826132,0.009931477560788446,30,0,0.4632697998826132,0.009931477560788446
Study 2,Worry,Under-generalization (Safe),19,0.6107520307750682,0.005475222430511846,18,1,0.5740641972105712,0.012725797523900814
