Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686ab02baa16436b54e6d472,641384b3dffcf39ec42d3c23,APPROVED,Not Applicable,2025-07-06T17:28:38.403000Z,2025-07-06T17:51:19.057000Z,2025-07-10T07:53:28.174000Z,2025-07-06T17:51:19.458236Z,1361,C1C88DFD,3921,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686ab0c1084052603cff04a8,5af5a5c3226ed5000133d67c,APPROVED,Not Applicable,2025-07-06T17:22:09.617000Z,2025-07-06T17:40:36.729000Z,2025-07-10T07:53:28.437000Z,2025-07-06T17:40:37.126025Z,1108,C1C88DFD,3634,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686ab2fab58f9922cddd6012,5cbe04b4f429ff00159de30e,APPROVED,Not Applicable,2025-07-06T17:31:38.326000Z,2025-07-06T17:51:48.273000Z,2025-07-10T07:53:28.723000Z,2025-07-06T17:51:48.673749Z,1210,C1C88DFD,12947,English,39,Female,Black,Zimbabwe,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
686ab45386f8db522018c4fe,66d4407f31981698998d25d8,APPROVED,Not Applicable,2025-07-06T17:37:23.949000Z,2025-07-06T17:56:49.462000Z,2025-07-10T07:53:28.987000Z,2025-07-06T17:56:49.889517Z,1166,C1C88DFD,1301,"English, German",37,Male,Black,Germany,United Kingdom,Canada,English,Yes,Full-Time
686ab4ad404fc3fb6126d0d5,67a929fca6f522114c6bdec7,APPROVED,Not Applicable,2025-07-06T17:38:58.444000Z,2025-07-06T17:57:02.360000Z,2025-07-10T07:53:29.283000Z,2025-07-06T17:57:02.779680Z,1084,C1C88DFD,623,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686ab9fbcf4294c5a88b8bd5,66553eb5f10b5700001d20de,APPROVED,Not Applicable,2025-07-06T18:01:45.355000Z,2025-07-06T18:23:03.905000Z,2025-07-10T07:53:29.569000Z,2025-07-06T18:23:04.455551Z,1279,C1C88DFD,3124,English,27,Male,White,South Africa,United States,United States,English,No,Full-Time
686aaa26e68b484ca472eee1,67c8c28fccf665e3c35c44ce,RETURNED,Not Applicable,2025-07-06T16:53:58.892000Z,,,,,,896,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aaa44ab7d9d78b5b3cbb4,5dcfaad2dd9a740c2493fc28,RETURNED,Not Applicable,2025-07-06T16:54:28.555000Z,,,,,,6524,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,
686aaa4e00816311dcad2b38,65c6bbe7f9428763522fa244,RETURNED,Not Applicable,2025-07-06T16:54:38.134000Z,,,,,,935,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aaa9e35bc8d87bf17246a,6717c466a1a5d0cb15bca12e,RETURNED,Not Applicable,2025-07-06T16:56:03.799000Z,,,,,,2389,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aaa9ec08255ca93523212,63d79fcd741f9cfb2f87152f,RETURNED,Not Applicable,2025-07-06T16:56:09.724000Z,,,,,,5518,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aab2888747adf72853f6d,5b5a822e1ad8270001c4f28d,RETURNED,Not Applicable,2025-07-06T16:58:16.381000Z,,,,,,12768,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aab9e7b10c5c2c45e3a14,65cd5b72f200e9541dc051f7,RETURNED,Not Applicable,2025-07-06T17:00:30.101000Z,,,,,,239,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aac4800588d1872b137d7,671498899f67df85f33ea053,RETURNED,Not Applicable,,,,,,,2257,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aac83175f483fab227439,66293ab7b323f5f7ce785c38,RETURNED,Not Applicable,2025-07-06T17:04:16.494000Z,,,,,,2931,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aac8e718647e5d979c9c1,5a8d8079190420000156435d,RETURNED,Not Applicable,2025-07-06T17:04:14.935000Z,,,,,,10482,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aad9e8175d9feb11734f7,677b8e386966144d94556597,RETURNED,Not Applicable,2025-07-06T17:08:57.586000Z,,,,,,1445,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aada17a0ed79212a0020d,667eb62db81d7cd5426c866d,RETURNED,Not Applicable,,,,,,,2957,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686aaee501005806f7a698e0,60e9e8092cfc1f464753dd71,RETURNED,Not Applicable,2025-07-06T17:14:13.321000Z,,,,,,10039,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686ab0495948972448552c21,62ce97db1fa788670dea28c2,RETURNED,Not Applicable,2025-07-06T17:20:15.062000Z,,,,,,1271,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686ab11fd2ac3426dd5e2e1f,64a9858be9b52e570ffb3c1e,RETURNED,Not Applicable,2025-07-06T17:23:43.052000Z,,,,,,2384,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686ab272627ad0459a345f16,65bfbcfe58e4443614db3717,RETURNED,Not Applicable,2025-07-06T17:29:22.558000Z,,,,,,1304,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686ab5ad2661e1fa4177a5fa,6266b7c4afe8a0ff03ca1f53,RETURNED,Not Applicable,2025-07-06T17:43:09.339000Z,,,,,,3408,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
686ab86b7ea25a2fa9f8233c,6776b0fa165d9cbef68466b5,RETURNED,Not Applicable,2025-07-06T17:55:12.579000Z,,,,,,188,CONSENT_REVOKED,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
