Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686aa9b0bad0290a85eb1070,62e154b0682e270b4acdf5ee,APPROVED,Not Applicable,2025-07-06T17:00:55.799000Z,2025-07-06T17:24:04.991000Z,2025-07-10T07:53:24.298000Z,2025-07-06T17:24:05.430299Z,1390,C1C88DFD,2976,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
686aaa0bc0a7cb99a0488001,5c5ca0ce4ee81200018eaf51,APPROVED,Not Applicable,2025-07-06T16:53:31.378000Z,2025-07-06T17:17:13.044000Z,2025-07-10T07:53:24.582000Z,2025-07-06T17:17:13.459757Z,1422,C1C88DFD,2981,"Afrikaans, English",55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686aaa273a192c68eb1c6973,675de3bd64119cef93edfc75,APPROVED,Not Applicable,2025-07-06T16:55:01.678000Z,2025-07-06T17:15:24.003000Z,2025-07-10T07:53:24.867000Z,2025-07-06T17:15:24.411449Z,1223,C1C88DFD,2440,English,46,Male,White,United States,United States,United States,English,No,Full-Time
686aaa42fd465fc806b2160d,675c6db4887ccdd0d3d15534,APPROVED,Not Applicable,2025-07-06T16:54:26.819000Z,2025-07-06T17:46:06.649000Z,2025-07-10T07:53:25.166000Z,2025-07-06T17:46:07.082319Z,3100,C1C88DFD,1145,English,44,Female,Asian,Korea,United States,Korea,English,No,Full-Time
686aab55e549f91a5906308b,66d282830897b77f5b260208,APPROVED,Not Applicable,2025-07-06T16:59:06.087000Z,2025-07-06T17:17:48.063000Z,2025-07-10T07:53:25.429000Z,2025-07-06T17:17:48.475000Z,1122,C1C88DFD,1811,English,66,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
686aab95c6e3f17659d7bc15,63af557b3d4f219c3226b7d6,APPROVED,Not Applicable,2025-07-06T17:04:18.977000Z,2025-07-06T17:17:10.042000Z,2025-07-10T07:53:25.726000Z,2025-07-06T17:17:10.487049Z,772,C1C88DFD,3855,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686aabbb170ca23084b23e54,6658b5c4eacd7bcadeef868c,APPROVED,Not Applicable,2025-07-06T17:05:16.193000Z,2025-07-06T17:25:10.210000Z,2025-07-10T07:53:25.989000Z,2025-07-06T17:25:10.633340Z,1195,C1C88DFD,736,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686aabf1d21185efa333dce2,67001c01bcb0cabf8a7f01e7,APPROVED,Not Applicable,2025-07-06T17:11:06.105000Z,2025-07-06T17:33:41.303000Z,2025-07-10T07:53:26.251000Z,2025-07-06T17:33:41.722325Z,1356,C1C88DFD,877,"English, Spanish",29,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
686aac126b201be6b2aa3631,6159cf5bad649a3ab1abc23f,APPROVED,Not Applicable,2025-07-06T17:02:15.401000Z,2025-07-06T17:15:49.694000Z,2025-07-10T07:53:26.529000Z,2025-07-06T17:15:50.092415Z,815,C1C88DFD,669,"Spanish, English",37,Male,White,Spain,United Kingdom,Spain,Spanish,No,Part-Time
686aac8167e1a2b2aeac1a3c,663ea705b761e95caebf67eb,APPROVED,Not Applicable,2025-07-06T17:05:14.676000Z,2025-07-06T17:21:25.728000Z,2025-07-10T07:53:26.784000Z,2025-07-06T17:21:26.194063Z,972,C1C88DFD,1836,"English, Spanish",23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
686aacf6f55255e9eba95964,66e18aed7a77c82578abfbab,APPROVED,Not Applicable,2025-07-06T17:06:12.533000Z,2025-07-06T17:35:49.858000Z,2025-07-10T07:53:27.061000Z,2025-07-06T17:35:50.298355Z,1778,C1C88DFD,1796,"English, German, Russian, Spanish",29,Female,White,United States,United States,United States,English,No,Full-Time
686aae64121917d587e3f963,66e484aa361904c9801c6837,APPROVED,Not Applicable,2025-07-06T17:12:11.820000Z,2025-07-06T17:30:20.581000Z,2025-07-10T07:53:27.331000Z,2025-07-06T17:30:20.972013Z,1089,C1C88DFD,426,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686aaec6f7ce9fedc9be5ad4,5ec3a89e1b50db206f73d612,APPROVED,Not Applicable,2025-07-06T17:13:55.580000Z,2025-07-06T17:36:07.922000Z,2025-07-10T07:53:27.597000Z,2025-07-06T17:36:08.331554Z,1333,C1C88DFD,644,English,26,Female,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
686aaef33c66129880488b65,657b91830c807b69681bf0ef,APPROVED,Not Applicable,2025-07-06T17:14:27.138000Z,2025-07-06T17:29:21.112000Z,2025-07-10T07:53:27.865000Z,2025-07-06T17:29:21.513724Z,894,C1C88DFD,1621,English,27,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
